well	radius	gfp	pi	viability	thresh	norm	date
72.0	0.0	17.40464	29.357033	0.2050574300653577	0.10668210210719978	0.2749041448529968	D1
72.0	6.651756907333758	85.33645	30.167177	0.678349783735321	0.10668210210719978	0.2749041448529968	D1
72.0	0.0	67.72645	73.55478	0.17430047730431553	0.10668210210719978	0.2749041448529968	D1
73.0	36.96817535781777	6605.9224	4526.876	0.22947039278374137	0.11813699735866245	0.49111532165607913	D1
74.0	48.43385203695223	16065.698	7045.765	0.14359172720410618	0.12952605615625035	0.3323669552768611	D1
75.0	38.73229291832112	5717.166	2328.2122	0.2810445860894474	0.0712491528753488	0.3433122527663935	D1
76.0	39.27535590784778	7071.2305	3971.755	0.29150718098536244	0.11962540137870127	0.626529877390345	D1
77.0	29.853613477268407	1520.6414	699.7395	0.29279252995012317	0.03409816180507279	0.16933697629830013	D1
78.0	41.312962837933334	11155.277	6196.7656	0.13095644513989713	0.11600861112760337	0.29827182194138235	D1
79.0	41.397514015311586	8197.871	2449.5815	0.3621354886715019	0.08172704137684268	0.4463767392575775	D1
80.0	42.349785374982964	8605.716	4352.391	0.2290336430207084	0.1086518602817593	0.4334780013592415	D1
81.0	36.63746765969471	3634.0667	1158.9464	0.2674412487121428	0.03927475284759102	0.1549088964764122	D1
82.0	39.927386310934146	6114.6743	2536.0369	0.2858622723608143	0.08223606428915801	0.4304701803816466	D1
83.0	39.15360878485296	8387.144	4516.01	0.18689698910248986	0.11128482466683684	0.4262571182340411	D1
84.0	41.82413718599416	9408.73	4652.353	0.23407303167672444	0.12001998888276764	0.48751576356284343	D1
84.0	0.0	114.034645	169.01396	0.24744403021578687	0.12001998888276764	0.48751576356284343	D1
85.0	36.88805509243078	7587.478	4251.6187	0.17360494692791095	0.10596801001449711	0.4042702205393313	D1
86.0	33.84599127580645	5055.3125	3200.7134	0.3028053038756706	0.11490086182894292	0.7041807329524117	D1
87.0	40.95988205836692	8682.58	3791.4746	0.28283164640349556	0.11031889864176783	0.549616987603506	D1
88.0	37.62980633039862	6273.764	1696.4856	0.4019730499497889	0.06382191733694867	0.3698144253338359	D1
89.0	36.628289707282434	7603.0356	3570.8838	0.26729748526724006	0.11021171839919679	0.5604578590319903	D1
90.0	40.229387821179294	8099.7627	4751.124	0.1854996755933821	0.11314252550923158	0.4129009733138538	D1
91.0	37.93414580513672	5160.6416	1472.1514	0.44032831667354033	0.06332616615242913	0.40122398847781615	D1
92.0	46.69209099174072	11334.164	15671.301	0.14913943524983397	0.2994965786361461	0.8752590080324218	D1
92.0	6.508691648671432	144.19057	129.05383	0.4463440490218308	0.2994965786361461	0.8752590080324218	D1
93.0	39.712925665388404	8916.211	3258.9395	0.25929104837447425	0.09672729789467893	0.476094633397078	D1
94.0	38.409772431398075	6342.375	5245.9844	0.1667046664973727	0.12011716109881601	0.4222876161272332	D1
95.0	40.25445234220109	9242.991	2646.5652	0.24423582133863342	0.07745376953827389	0.34670045708290587	D1
96.0	39.8616510756012	5559.158	1586.5587	0.5794993366132917	0.06675451294717968	0.4873962440102674	D1
97.0	38.73923667831206	5759.305	1737.3978	0.4270611532673395	0.06808357519596006	0.43359938443686574	D1
98.0	37.779612786845384	7716.5894	6014.9287	0.1586241550183849	0.12384944322755827	0.38676321634282085	D1
98.0	0.0	32.80144	50.028194	0.2641115685538613	0.12384944322755827	0.38676321634282085	D1
99.0	36.973631780866526	4675.947	1414.9264	0.5190466332637023	0.059203221732991126	0.41437438489474243	D1
100.0	37.68872988111202	6448.367	2876.425	0.40185662867847627	0.09894962598148029	0.5886901082268645	D1
101.0	41.68402782495303	10030.458	4803.6274	0.2055087878162145	0.11501464323636729	0.42484796705739936	D1
101.0	0.0	39.615788	40.60683	0.2810636603434623	0.11501464323636729	0.42484796705739936	D1
102.0	38.16036709218337	8569.046	5540.249	0.1928167068217126	0.11919585884467175	0.38960925094475796	D1
103.0	33.86783829295879	3217.6506	1446.9847	0.43029062927350903	0.06724955539655578	0.4649020793044016	D1
104.0	35.331266232661854	10914.344	6460.635	0.13906989325066144	0.12462883913692618	0.35794440700459407	D1
105.0	35.052295620600724	9308.034	6176.4595	0.1570684533093739	0.13280022392074323	0.4379484105960062	D1
106.0	38.04035454067339	7266.1943	3883.8052	0.22246443131341032	0.11080938731748806	0.5108344478775152	D1
107.0	40.232730659509976	8558.994	4650.0015	0.19878080795807018	0.11396074072352198	0.4439930018643353	D1
108.0	39.82621023908517	6239.1523	3027.5725	0.29892877467426815	0.09126019676126694	0.4602294672011835	D1
109.0	0.0	121.11926	71.96287	0.3425146424042993	0.10941592861541628	0.3841000047492904	D1
109.0	43.95327450941784	8095.8457	3610.3713	0.18763308637743192	0.10941592861541628	0.3841000047492904	D1
109.0	0.0	385.06458	582.46094	0.2931040814026261	0.10941592861541628	0.3841000047492904	D1
110.0	39.52623195985513	6709.162	2508.2034	0.3048027449323474	0.07919997887200703	0.40946376433688725	D1
111.0	37.66017240030671	6914.7656	4194.675	0.20123525588630198	0.10931445450269935	0.4464932368914528	D1
112.0	7.613372084651639	980.2121	914.58954	0.2306511030530075	0.09805204957719148	0.33791349864711034	D1
112.0	21.044290373480443	1899.5935	986.12665	0.2587397756230858	0.09805204957719148	0.33791349864711034	D1
112.0	38.59141296494213	6142.511	2372.2256	0.2455657076858987	0.09805204957719148	0.33791349864711034	D1
113.0	33.327455203954436	3375.5027	1522.4412	0.5658278789968507	0.07108567722055682	0.5784247888933627	D1
114.0	39.92401790612696	7789.809	3598.5676	0.3447973620974494	0.11284298587819044	0.6181483327561992	D1
115.0	39.42402639672303	7370.8164	5232.0366	0.2280159536878521	0.12592613014040088	0.48504528955217907	D1
116.0	37.77071236671885	5168.81	1588.1108	0.4123299033862531	0.06228992194387844	0.37768214493224783	D1
117.0	39.95264029480732	5532.2363	3954.9294	0.22906042534881144	0.11352452852013353	0.5318037970477416	D1
118.0	37.78673161351246	6105.905	5492.822	0.1966557055406587	0.1342218211399016	0.5220618621968751	D1
119.0	36.61360019808638	4957.039	2132.7898	0.33601015578019533	0.08262921797834587	0.5133188249205783	D1
120.0	36.66682166953904	4833.0522	1744.0507	0.25314952797794665	0.061810750409903865	0.3190503935113258	D1
121.0	39.89706042978786	7783.527	3923.6125	0.23856222522924164	0.11386251864540005	0.5551595353699543	D1
122.0	38.11981689739866	5757.833	1699.4259	0.26828634925763784	0.055462445061840726	0.25991015064175393	D1
122.0	0.0	22.462778	40.05096	0.36070607555237666	0.055462445061840726	0.25991015064175393	D1
123.0	36.028574306526664	4059.6174	1967.8037	0.24045936319400607	0.06450185914393455	0.30274778512919187	D1
124.0	39.40525995515669	5273.2056	2342.1067	0.22965936953993094	0.07372210174607662	0.36973279128099373	D1
125.0	41.226607237584936	8320.753	6360.231	0.17692560987974149	0.13856035577094922	0.4716111164158894	D1
126.0	37.59047265027709	6406.6265	4366.406	0.21056659481527962	0.11674833619558372	0.4904481051577849	D1
